NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR;STATUS_FXI3S;STATUS_DXI3S
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250824;0.0;1;14.0;1;542;9;25.5;1;1629;9;19.5;1;19.8;1;11.5;1;11.2;9;13.2;9;0;9;2.2;1;;;3.9;1;10;1;1208;9;8.0;1;30;1;1159;9;;;;;;;7.4;1;30;1;1159;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250825;0.0;1;14.1;1;459;9;28.8;1;1432;9;21.4;1;21.5;1;14.7;1;10.1;9;12.6;9;0;9;1.6;1;;;3.7;1;170;1;1133;9;8.4;1;100;1;1520;9;;;;;;;7.3;1;100;1;1520;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250826;0.0;1;16.4;1;329;9;29.2;1;1353;9;22.8;1;22.8;1;12.8;1;12.5;9;15.5;9;0;9;2.7;1;;;5.6;1;240;1;1525;9;11.6;1;240;1;1521;9;;;;;;;10.4;1;240;1;1521;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250827;0.0;1;18.3;1;421;9;25.9;1;1340;9;22.0;1;22.1;1;7.6;1;15.0;9;17.0;9;0;9;2.9;1;;;6.0;1;250;1;1155;9;13.4;1;250;1;1330;9;;;;;;;10.6;1;210;1;1142;9;0;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250828;0.2;1;16.9;1;450;9;23.6;1;1519;9;19.8;1;20.3;1;6.7;1;14.2;9;15.6;9;0;9;3.0;1;;;5.6;1;250;1;1442;9;12.2;1;270;9;1951;9;;;;;;;10.5;1;270;1;1951;9;37;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250829;30.9;1;14.8;1;1732;9;20.7;1;1633;9;16.5;1;17.8;1;5.9;1;12.5;9;12.5;9;0;9;3.2;1;;;6.1;1;190;1;634;9;16.1;1;290;1;1723;9;;;;;;;14.8;1;290;1;1723;9;358;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250830;1.0;1;12.6;1;408;9;22.2;1;1527;9;17.7;1;17.4;1;9.6;1;9.2;9;11.5;9;0;9;3.6;1;;;5.8;1;210;1;1500;9;12.7;1;210;1;1451;9;;;;;;;11.0;1;210;1;1819;9;115;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250831;1.6;1;17.7;1;809;9;21.6;1;1010;9;18.4;1;19.7;1;3.9;1;16.1;9;16.5;9;0;9;2.8;1;;;4.7;1;190;1;1324;9;8.9;1;270;1;758;9;;;;;;;8.2;1;210;1;10;9;98;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250901;5.1;1;13.8;1;517;9;23.4;1;1454;9;17.2;1;18.6;1;9.6;1;11.7;9;13.0;9;0;9;2.9;1;;;6.8;1;240;1;1542;9;13.2;1;200;1;1524;9;;;;;;;12.0;1;200;1;1524;9;50;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250902;4.0;1;12.1;1;511;9;18.6;1;1348;9;16.0;1;15.4;1;6.5;1;9.1;9;11.1;9;0;9;4.1;1;;;7.4;1;190;1;1403;9;18.2;1;220;1;1404;9;;;;;;;13.6;1;220;1;1410;9;165;9;0;1
75114001;PARIS-MONTSOURIS;48.821667;2.337833;75;20250903;2.4;1;16.9;1;232;9;25.0;1;1531;9;19.8;1;21.0;1;8.1;1;16.0;9;16.6;9;0;9;4.9;1;;;8.2;1;210;1;1431;9;18.7;1;200;1;1458;9;;;;;;;16.2;1;210;1;1517;9;15;9;0;1
